OTU_ID;2;4;5;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;88;90;91;92;93;94;95;96;97;98;99;100;101;103;104;106;107;108;109;110;111;112;113;114;116;117;118;119;120;122;123;124;125;126;127;128;129;130;131;133;134;135;136;137;138;139;140;141;142;144;145;146;147;148;OTU_comp;taxonomy;tax1;tax2;tax3;tax4;tax5;tax6
OTU_1;25;0;2;0;3;2;1;677;2750;69;15421;2080;6765;18;175;46;6;0;11;100;148;8;14718;9838;7;610;9122;15323;17611;11;9;12009;682;2402;12;4721;5508;766;182;2120;4744;975;885;661;23;459;7443;19;4084;5;3;1782;169;1122;128;1665;2099;2732;1756;4216;2028;1064;2989;91;616;376;127;3846;2024;104;2591;31;7;204;349;1519;2;0;2846;465;0;4;8;3781;253;6725;6446;1156;56;216;0;26;1121;186;871;258;42;937;97;7;9;36;6;3845;134;7415;9592;5617;2333;5338;10646;5583;21;93;2769;5975;3051;251;155;11534;2727;5087;3974;1;45;14;339;376;5681;4;544;734;211;5181;0;3;OTU_1;"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;";Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus
OTU_2;9512;5957;9051;118;7;170;20763;9516;8485;30;5090;2311;878;3769;6573;8454;16;5;1860;2281;228;8;8653;5950;181;166;6400;1268;7794;19;27;9711;739;29;18;170;118;46;438;3091;1639;1447;201;2088;718;456;1383;120;617;40;69;3895;46;16;4;560;1336;236;861;259;445;25;11;53;258;6;58;391;911;216;82;600;4;437;4;44;126;0;6;1;342;0;0;4632;6198;1063;2124;2929;3281;4100;88;1179;5498;1277;121;3768;2428;394;5319;1785;2960;203;851;10056;116;349;284;1579;75;722;8872;3767;17;14;10218;149;52;16;124;41;29;13;4;4;471;745;5566;76;8160;149;1971;103;18;239;118;17;OTU_2;"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;";Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_3;0;2;1;2856;9;0;0;1;2048;7;2;5;3;2;0;1;3;2;122;2964;41;3498;52;2;63;5;5;1;4;5;4;2;6141;16514;3197;5139;4697;411;2275;14;2;1;7221;2729;117;9;1;1;3;1;4;417;2610;4956;474;9552;13302;4168;5601;6622;8757;9348;7570;1030;5311;8802;2557;7311;631;2951;235;63;7;299;6297;659;30;1;2875;1;221;0;4;1;3;0;5;1;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;0;0;1;10;0;0;9;10930;12;934;2;0;0;0;4;2030;0;0;0;0;2440;1;1;1;OTU_3;"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;";Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;
OTU_5;31;5;3;61;0;54;2;10;3062;9266;680;6;295;4;3;12;4;16;97;2039;2059;2;4167;63;26;34;5;16;18;3;31;10;3540;183;119;55;3751;541;100;148;31;233;50;626;76;252;29;1;1746;5937;4150;57;717;65;101;87;2292;414;1053;10143;2609;247;25;9;39;51;1406;4330;292;5737;170;43;5;317;16;469;18;1;4;4;37;1;0;80;464;64;789;41;5;43;1;2;7;1607;108;46;4380;2332;84;88;3424;25;123;331;695;6939;3039;2348;7819;1230;665;639;34;183;184;5435;726;289;28;106;50;17;13;0;64;1331;4106;1119;130;3;2260;165;53;2339;79;325;OTU_5;"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;";Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita
OTU_6;121;62;176;0;3;5;4174;1407;2154;0;1014;271;275;638;85;3189;10;2;1674;955;0;0;1111;645;0;933;1047;146;3347;5;2;2584;56;38;4;202;2168;1431;11;4644;383;575;37;592;0;2191;1077;79;6392;51;6;6129;16;12;1;18;0;20;381;346;662;5;0;0;1;0;2;14;12;0;0;1;1;6;0;1;0;0;0;0;0;0;0;292;397;609;212;286;57;231;0;6;486;460;14;1294;328;1902;3835;184;137;33;18;3265;1081;362;2715;1291;2686;3311;1808;2999;15;24;2298;85;232;15;576;8;5;2;3;2;3884;10992;2119;4083;3453;356;9504;6;21;2150;0;4;OTU_6;"Bacteria;Proteobacteria;Gammaproteobacteria;";Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_7;0;0;0;0;0;0;0;1;0;7038;0;0;0;1;7;0;1;0;0;1;165;1;2;1;1;1;0;1;0;5;5;0;5;2121;1;0;0;4768;36;1;4;0;0;0;0;3;1;0;0;0;0;1;35;10466;522;10;3;0;0;4;0;2;11182;308;0;361;0;217;1;7;14766;3;2;4;2493;6160;0;1;15607;2771;5;10;1626;1;30;0;0;0;0;0;0;0;0;2;1684;5;6;0;42;7;8;5;9;10;9;4591;0;13;1;0;13;9;4;8;3;718;892;38;5;5490;4526;5273;7048;1;1;0;2;177;5;0;2;4633;22;0;0;0;OTU_7;"Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter;";Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter
OTU_8;1183;5329;340;7;111;1557;2594;572;90;357;101;597;49;2974;7626;1067;1966;2030;390;1206;38;4;278;4363;53;97;2479;2306;1938;11729;994;4090;1508;21;52;113;190;40;88;455;561;328;92;592;379;234;544;112;191;9776;1025;595;16;18;12;164;101;257;159;316;161;84;7;83;106;277;28;41;346;766;38;85;1;457;74;10;44;0;10;0;39;0;0;11;68;19;25;16;60;12;280;2776;157;308;13;74;38;65;191;6933;279;1119;2808;124;19;113;88;641;103;134;5434;606;701;882;269;627;8;62;86;268;19;84;5;0;34;11;94;12;402;5671;375;6;20;41;106;193;OTU_8;"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola;";Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola
OTU_9;2614;214;1402;508;29;570;3229;4572;1449;8;6152;310;7121;2332;473;2838;32;80;1489;1998;58;35;5214;1939;122;121;3366;115;5205;25;30;4783;7365;59;366;1918;158;118;1886;675;680;201;752;216;0;266;1475;56;468;40;10;1057;11;23;850;102;34;24;100;646;21;34;17;0;95;9;20;96;138;25;49;0;2;373;10;24;0;0;3;3;0;1;2;486;662;202;8687;73;59;73;9;11;131;431;26;5;280;2564;452;948;19;293;34;310;38;891;6104;3600;197;3508;1987;2242;92;38;1153;59;16;6;106;13;16;5;1;3;534;1316;1873;2047;2916;1159;2256;2;44;1575;155;23;OTU_9;"Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;";Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga
OTU_10;0;0;0;572;1689;5756;7;2;0;3;1;0;10;1;0;0;1845;6547;94;30;13;8874;1;1;27;15;11;0;62;13664;5299;63;532;2;4551;5;67;2;3915;0;456;597;0;230;0;574;11;0;4;5918;4505;2;6;1;772;0;1;0;291;0;0;0;8;281;0;1;0;0;0;1;6;549;38;2;0;0;903;8;1;0;379;4;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;1;0;8;6;2579;3545;64;4;13;6;0;0;0;0;0;23;0;0;0;1;1;0;0;0;0;0;770;2278;OTU_10;"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;";Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna
