OTU_ID	E2	F2	G2	B1	D1	E1	G1	A2	C2	D2	E4	F4	G4	A3	C3	E3	G3	A4	C4	D4	E6	F7	B6	C6	D6	H4	B5	C5	D5	F5	H5	A6	A8	C8	F6	H6	B7	C7	E7	G7	Silva_tax	evalue_S	Greengenes_tax	evalue_G
OTU_7	0	1	3	0	3	0	0	0	2	0	61	41	10	1	1	0	19	54	123	52	337	289	46	111	37	0	2	1	30	71	84	75	709	175	570	31	18	175	534	515	"Bacteria; __Verrucomicrobia; __Candidatus_Methylacidiphilum; __o; __f; __g"	1.00E-132	"k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__Methylacidiphilales; f__LD19; g__; s__"	3.00E-133
OTU_10	5	11	185	2	2	9	8	7	84	76	30	61	59	3	11	93	24	674	364	262	180	198	15	24	9	5	3	6	7	9	14	22	129	69	224	82	187	67	460	332	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	3.00E-133
OTU_1202	86	120	329	5	15	33	1	0	657	745	80	78	133	1	162	83	75	178	89	184	40	3	1	1	2	2	16	13	55	96	45	7	67	49	2	0	0	0	4	7	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Sediminibacterium"	2.00E-118	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__"	6.00E-119
OTU_2188	98	73	71	43	192	124	16	13	71	160	100	112	208	32	102	142	117	281	121	133	24	30	57	52	131	48	62	53	141	132	54	27	32	19	53	139	27	27	62	58	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Albidiferax"	3.00E-117	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__"	4.00E-117
OTU_14	4	0	4	4	1	0	0	0	1	1	3	9	12	6	0	12	0	7	0	1	0	1	5	1	15	54	2	0	0	0	0	1	2	5	3127	134	1	3	0	8	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	2.00E-130	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	7.00E-131
OTU_11	2	20	54	208	34	54	0	18	166	19	14	6	18	300	10	8	239	288	245	51	5	12	1	0	0	578	307	51	54	248	173	13	0	0	5	4	52	8	60	62	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	2.00E-130	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"	7.00E-131
OTU_656	0	3	0	103	2	7	0	1	2	7	2	9	12	858	3	15	259	4	68	55	0	7	0	4	1	1393	2	15	18	6	35	43	17	27	49	15	21	30	6	21	"Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas"	6.00E-128	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__"	1.00E-126
OTU_36	10	3	53	30	25	37	1	7	96	23	13	7	21	41	17	4	389	177	213	74	15	25	1	2	2	241	196	131	98	558	74	14	1	0	45	43	59	12	192	39	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	3.00E-123	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"	1.00E-116
OTU_15	33	170	190	43	23	7	6	1	272	13	9	29	233	20	6	9	170	621	5	6	0	6	8	6	4	6	27	34	183	676	4	9	19	2	0	0	0	3	2	21	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	6.00E-128	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	2.00E-128
OTU_1177	17	13	21	22	13	18	1	0	7	10	101	282	206	44	40	30	160	32	23	57	86	13	186	157	232	89	128	42	224	99	16	21	20	10	79	71	77	53	74	16	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Polaromonas"	1.00E-128	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__"	4.00E-129
