samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_88	both	9/10/13	9_Salineta	9/10/13	oct-13	1	11	1	0	0	0	0	40	6_highly-hypersaline	143.3	18.8	mild	7.7	265	8.9	2.4	282	648	648	autumn	autumn	10	41.484360 N -0.160008 W
MON_9	both	13/11/12	z11_Amarga_alta	13/11/12	nov-12	10	1	5	36	7	7	1	1	2_slightly-brackish	4.7	8.6	cold	7.9	326	11.8	0.5	318	318	317	autumn	autumn	1	41.396091 N -0.057746 W
MON_90	both	27/11/13	1_Guallar	27/11/13	nov-13	10	12	5	0	0	0	0	2.8	3_brackish	26.2	2	freezing-cold	8.1	250	12.1	1.1	331	697	697	autumn	autumn	11	41.411798 N -0.227378 W
MON_91	only_16S	27/11/13	2_Pinol	27/11/13	nov-13	8	12	5	0	0	0	0	1.6	3_brackish	14.4	5	freezing-cold	8	245	11.8	0.9	331	697	697	autumn	autumn	11	41.410267 N -0.256041 W
MON_92	both	27/11/13	3_Muerte	27/11/13	nov-13	5	12	5	0	0	0	0	2	3_brackish	20.3	7.5	cold	8.3	270	11.2	1.4	331	697	697	autumn	autumn	11	41.400761 N -0.261687 W
MON_93	only_16S	27/11/13	4_Camaron	27/11/13	nov-13	15	12	14	0	0	0	0	2	3_brackish	22.7	10	cold	8.3	270	10.9	9.5	331	697	697	autumn	autumn	11	41.403479 N -0.284693 W
MON_94	both	27/11/13	6_Rollico	27/11/13	nov-13	5	12	5	0	0	0	0	0.8	2_slightly-brackish	5.6	9	cold	8.1	305	11	1.9	331	697	697	autumn	autumn	11	41.390249 N -0.295673 W
MON_95	both	27/11/13	7_Rebollon	27/11/13	nov-13	15	12	5	0	0	0	0	1	2_slightly-brackish	5.1	7.5	cold	8.1	305	11.6	1.8	331	697	697	autumn	autumn	11	41.377488 N -0.304309 W
MON_96	both	27/11/13	5_Pez	27/11/13	nov-13	2	12	5	0	0	0	0	1.1	2_slightly-brackish	8.5	5.2	freezing-cold	8	320	11.6	1.1	331	697	697	autumn	autumn	11	41.378293 N -0.261327 W
MON_97	both	28/11/13	z12_Amarga_baja	28/11/13	nov-13	4	12	5	0	0	0	0	0.9	2_slightly-brackish	4.3	1.5	freezing-cold	9.2	280	11.7	5.5	332	698	697	autumn	autumn	11	41.404935 N -0.028002 W
MON_98	only_16S	28/11/13	z11_Amarga_alta	28/11/13	nov-13	20	12	5	0	0	0	0	0.9	2_slightly-brackish	3.6	3	freezing-cold	8.1	320	12.1	3.4	332	698	697	autumn	autumn	11	41.396091 N -0.057746 W
MON_99	both	28/11/13	8_Pito	28/11/13	nov-13	10	12	5	0	0	0	0	1.2	2_slightly-brackish	12	3.5	freezing-cold	8	295	12.6	1.1	332	698	697	autumn	autumn	11	41.412818 N -0.153057 W
