MON_100	MON_101	MON_104	MON_106	MON_107	MON_108	MON_109	MON_10	MON_110	MON_111	MON_112	MON_113	MON_114	MON_116	MON_117	MON_118	MON_119	MON_11	MON_120	MON_122	MON_123	MON_124	MON_125	MON_126	MON_127	MON_128	MON_129	MON_12	MON_130	MON_131	MON_133	MON_134	MON_136	MON_137	MON_138	MON_139	MON_13	MON_140	MON_141	MON_142	MON_144	MON_145	MON_146	MON_147	MON_148	MON_14	MON_15	MON_17	MON_18	MON_19	MON_20	MON_21	MON_22	MON_23	MON_24	MON_25	MON_26	MON_27	MON_28	MON_29	MON_2	MON_30	MON_31	MON_32	MON_33	MON_34	MON_35	MON_36	MON_37	MON_38	MON_39	MON_40	MON_41	MON_42	MON_43	MON_44	MON_45	MON_46	MON_47	MON_48	MON_4	MON_50	MON_51	MON_52	MON_53	MON_54	MON_55	MON_56	MON_57	MON_58	MON_59	MON_5	MON_60	MON_61	MON_62	MON_63	MON_64	MON_65	MON_66	MON_67	MON_68	MON_69	MON_70	MON_71	MON_72	MON_73	MON_74	MON_75	MON_76	MON_77	MON_78	MON_79	MON_7	MON_80	MON_81	MON_83	MON_84	MON_85	MON_88	MON_8	MON_90	MON_91	MON_92	MON_93	MON_94	MON_95	MON_96	MON_97	MON_98	MON_99	MON_9
ZOTU_12	0	0	0	0	0	0	0	6	1	3	0	0	0	0	0	1	0	1	4	5	1984	2771	41	5	10	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	500	106	0	0	11	0	0	0	1169	4897	47	20	9	6732	2	1	19	0	10	6	0	44	10933	4044	52	354	2	2360	4	50	1	2763	0	344	466	0	138	0	462	11	0	3	4528	2387	3	1	0	604	0	0	0	0	131	0	0	0	6	177	0	0	0	0	0	1	3	408	19	1	0	263	0	708	1	0	306	0	974	0	1	0	0	0	0	0	3	1	0	4253
ZOTU_13	11	6	12	5	590	1641	36	3813	1315	83	244	29	5	1	136	6	76	2726	587	211	391	105	389	15	4	629	0	43	1	0	0	3	3	0	13	0	2	63	51	29	0	0	65	45	23	9	121	1252	1740	9259	500	485	812	616	343	3	2	23	1107	2	35	106	480	3403	2934	1618	57	46	261	7	10	96	1	17	4	12	50	212	47	27	1015	5	198	496	52	797	438	43	1	4	1	372	0	19	1	20	4	3	42	3	74	10	2	10	2	12	5	1	13	8	2	0	3	4	4	1	2	10	1	226	1	215	6	40	21	945	183	807	1021	105	2117
ZOTU_14	31	3	0	4	1	32	0	0	13	7	2	3	9	7	2506	15	79	0	319	53	66	52	4	152	0	13	3	7	0	0	0	0	0	0	2	0	263	0	16	0	0	24	5	7	0	0	11	56	0	1	3	6	4	192	4485	60	1954	72	1573	199	0	24	9	18	34	9	1	2	4407	57	3562	4662	1454	6	2521	4	1242	259	1681	3597	1	350	112	173	41	199	44	6	1	2	1162	0	27	3527	32	1717	1	4	49	29	846	2	25	629	893	1755	68	32	5819	1	0	2	343	103	399	1	0	1	0	1	0	1	6	0	1	5	1	3	10	0	4
ZOTU_15	3	101	0	0	18	3	1	1	0	3	1	2	2203	0	0	0	1	3	6	3	11	78	3	4908	711	296	3	2	3922	106	663	478	2	0	0	6	7	0	0	0	2424	3401	4	0	3	2	0	1	1	1	0	0	2	0	1	19	0	0	0	10	0	0	3	0	0	1	5	1	3	6652	5	1	0	598	10	0	0	3	1	0	0	0	2	0	0	0	0	0	16	531	34	0	3	0	5	0	0	1	6086	608	19	7	8668	0	31	3	3	5252	4	8	22	2797	0	1577	0	1456	80	0	1	0	0	0	0	0	1	1	0	1	0	0	0
ZOTU_16	3866	932	12	3	87	12	7	2	27	27	17	4098	727	10	21	267	4	1	18	3	12	107	9	4624	932	238	2670	0	3268	3159	832	1884	2	0	1106	99	8	9	6	11	62	148	113	1	1	2	0	5	2	3	1	0	0	1	0	310	12	0	1	1	2	1	0	0	1	0	0	1	10	129	1	43	47	970	21	2	1	18	23	2	1	2	2	0	3	1	0	3	139	845	4	3	776	22	78	4	600	1	139	39	2	216	178	151	91	49	2186	1308	3	1	6888	1194	0	1996	0	1353	2002	1	446	0	147	16	233	9	62	19	24	2	1	1	0
ZOTU_18	2	1	0	0	10	1	0	3	0	0	0	6	911	0	0	4	0	1	3	1	14	88	4	5504	75	238	0	4	41	849	20	464	0	0	2	27	641	4	0	0	31	282	0	0	0	1	0	0	1	0	0	0	2	0	0	88	7	0	0	55	2	0	0	0	1	2	2	0	5	10512	58	1	7	4143	23	1	0	1	0	0	0	2	0	0	0	0	0	0	3937	8564	26	0	0	2	0	0	0	0	3545	262	9	0	98	1	0	2	205	96	22	4	0	24	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ZOTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8904	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	18	5716	1	0	12076	411	5377	522	21	1	0	3	0	185	0	1614	11	0	5	1	126	429	6	2	0	0	0	0	0	0	0	1	0	0	0	11	0	2	0	2	0	0	0	0	0	2	44	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	3	0	43	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	918
ZOTU_21	229	20	376	289	74	12	1763	7	10	73	201	86	662	387	1658	12	617	1	206	1942	2	6	593	98	5	4	1	744	81	0	2	6	3	25	111	3	3509	20	3	2026	2	25	1	0	2	116	273	0	4	8	4	4	0	54	1441	55	15	1126	348	27	114	27	1	1	9	0	0	409	1223	43	61	62	575	36	69	901	470	611	44	4583	8	1396	4395	12	133	3	2	1249	4	4	4	5	12	236	1	253	147	42	12	0	7	6	30	34	9	39	13	20	9	2	3	15	20	5	3	0	1	8	1	0	9	3	1	2	1	0	1	0	6	1	0
ZOTU_22	1	0	575	6645	3808	3168	522	35	863	56	3155	12	1	35	259	6	254	268	58	26	76	492	6	4	0	2	2	1180	0	1	0	0	0	10	0	0	1	154	3158	1294	0	1	4	3	1	11	19	18	166	23	279	73	8	58	30	0	0	27	22	2	105	14	17	1111	57	119	0	68	54	0	1	0	1	0	0	0	164	15	0	10	5	9	3	13	20	28	11	1	3	0	0	50	0	0	0	2	1	0	0	0	0	0	0	2	2	3	0	0	2	0	1	0	0	0	0	0	0	0	0	6	410	1797	256	6273	196	28	365	13	12	67	32
ZOTU_23	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	15	1	0	0	55	407	38	0	0	0	0	0	1	8	1	0	0	37	242	0	40	0	0	2	2	0	0	9	633	15	30	219	4739	4	8	5343	23	0	33	13	0	43	4	0	3	1691	7108	15	74	4768	2467	26	0	0	1106	25	1574	0	4	3	0	0	0	0	0	53	1939	36	0	4	54	0	2388	0	0	313	761	20	0	132	60	0	1	3	71	0	0	0	29	9	2	0	0	0	0	0	215	0	0	0	1	0	0	1	0	0	0	3
