taxonomy	Domain	Phylum	Class	Order	Family	Genus
ZOTU_1964	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Salipaludibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Salipaludibacillus
ZOTU_1965	Bacteria;Patescibacteria;Microgenomatia;Candidatus Woesebacteria	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Candidatus Woesebacteria-unclass	Candidatus Woesebacteria-unclass
ZOTU_1966	Bacteria;Cyanobacteria;Sericytochromatia	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia-unclass	Sericytochromatia-unclass	Sericytochromatia-unclass
ZOTU_1967	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Delftia
ZOTU_1968	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group-unclass
ZOTU_1969	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
ZOTU_1970	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosiaceae-unclass
ZOTU_1971	Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	Candidatus Falkowbacteria-unclass	Candidatus Falkowbacteria-unclass
ZOTU_1972	Bacteria;Bacteroidetes;Bacteroidia	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia-unclass	Bacteroidia-unclass	Bacteroidia-unclass
ZOTU_1973	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Saccharospirillaceae-unclass
ZOTU_1974	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_1975	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Megaira
ZOTU_1976	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae-unclass
ZOTU_1977	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_1978	Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Lenti-02	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Lenti-02	Lenti-02-unclass
ZOTU_1979	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
ZOTU_1980	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 4;Caminicella	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4	Caminicella
ZOTU_1981	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nodularia PCC-9350
ZOTU_1982	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;Chthonobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Chthonobacter
ZOTU_1983	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_1984	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
ZOTU_1986	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_1988	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
ZOTU_1989	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax
ZOTU_1990	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales-unclass	Saccharimonadales-unclass
ZOTU_1991	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_1992	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales-unclass	Saccharimonadales-unclass
ZOTU_1993	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae-unclass
ZOTU_1994	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Megaira
ZOTU_1995	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ZOTU_1996	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured
ZOTU_1998	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ZOTU_1999	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halanaerobium
ZOTU_2000	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Pelagicoccus	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus
ZOTU_2001	Bacteria;Planctomycetes	Bacteria	Planctomycetes	Planctomycetes-unclass	Planctomycetes-unclass	Planctomycetes-unclass	Planctomycetes-unclass
ZOTU_2003	Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass
ZOTU_2004	Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1)	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	Absconditabacteriales (SR1)-unclass	Absconditabacteriales (SR1)-unclass
ZOTU_2005	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae-unclass
ZOTU_2006	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas
ZOTU_2007	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter
ZOTU_2008	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
ZOTU_2009	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagales-unclass	Cytophagales-unclass
ZOTU_2010	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
ZOTU_2011	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Reinekea	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Reinekea
ZOTU_2012	Bacteria;Planctomycetes;vadinHA49	Bacteria	Planctomycetes	vadinHA49	vadinHA49-unclass	vadinHA49-unclass	vadinHA49-unclass
ZOTU_2013	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus
ZOTU_2014	Bacteria;Lentisphaerae	Bacteria	Lentisphaerae	Lentisphaerae-unclass	Lentisphaerae-unclass	Lentisphaerae-unclass	Lentisphaerae-unclass
ZOTU_2015	Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
ZOTU_2016	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_2017	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Vampirovibrionales-unclass	Vampirovibrionales-unclass
ZOTU_2019	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae-unclass
ZOTU_2020	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
ZOTU_2022	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_2024	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Vampirovibrionales-unclass	Vampirovibrionales-unclass
ZOTU_2025	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_2026	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured-unclass
ZOTU_2027	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ZOTU_2028	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfocella	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfocella
ZOTU_2029	Bacteria;Proteobacteria	Bacteria	Proteobacteria	Proteobacteria-unclass	Proteobacteria-unclass	Proteobacteria-unclass	Proteobacteria-unclass
ZOTU_2030	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_2031	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccaceae-unclass
ZOTU_2032	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Halofilum	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Halofilum
ZOTU_2033	Bacteria;Dependentiae;Babeliae;Babeliales	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales-unclass	Babeliales-unclass
ZOTU_2034	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured
ZOTU_2035	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrionaceae-unclass
ZOTU_2036	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_2037	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter
ZOTU_2038	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] gnavus group	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gnavus group
ZOTU_2039	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera
ZOTU_2040	Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae;Rubrivirga	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga
ZOTU_2041	Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	Candidatus Falkowbacteria-unclass	Candidatus Falkowbacteria-unclass
ZOTU_2043	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinimicrobium
ZOTU_2044	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ZOTU_2046	Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured
ZOTU_2047	Bacteria;Lentisphaerae;Lentisphaeria;Victivallales	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallales-unclass	Victivallales-unclass
ZOTU_2048	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured
ZOTU_2051	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ZOTU_2053	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
ZOTU_2055	Bacteria;Patescibacteria;ABY1;Candidatus Uhrbacteria	Bacteria	Patescibacteria	ABY1	Candidatus Uhrbacteria	Candidatus Uhrbacteria-unclass	Candidatus Uhrbacteria-unclass
ZOTU_2056	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Vampirovibrionales-unclass	Vampirovibrionales-unclass
ZOTU_2057	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Azoarcus	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Azoarcus
ZOTU_2058	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ZOTU_2062	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
ZOTU_2063	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	0319-6G20-unclass
ZOTU_2065	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
ZOTU_2067	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
ZOTU_2070	Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass
ZOTU_2071	Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
ZOTU_2072	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Opitutaceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutaceae-unclass
ZOTU_2073	Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae;uncultured	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	uncultured
ZOTU_2074	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_2075	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ZOTU_2076	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_2077	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120
ZOTU_2078	Bacteria;Patescibacteria;ABY1;Candidatus Magasanikbacteria	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	Candidatus Magasanikbacteria-unclass	Candidatus Magasanikbacteria-unclass
ZOTU_2079	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_2080	Bacteria;Patescibacteria;Microgenomatia;Candidatus Pacebacteria	Bacteria	Patescibacteria	Microgenomatia	Candidatus Pacebacteria	Candidatus Pacebacteria-unclass	Candidatus Pacebacteria-unclass
ZOTU_2081	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroflexus	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroflexus
ZOTU_2082	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Maritalea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Maritalea
ZOTU_2083	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_2084	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Limnohabitans	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Limnohabitans
ZOTU_2085	Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae;uncultured	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	uncultured
ZOTU_2086	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonadaceae-unclass
ZOTU_2087	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12-unclass
ZOTU_2088	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_2089	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiohalospira	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiohalospira
ZOTU_2090	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
ZOTU_2091	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_2093	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_2094	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Simkaniaceae-unclass
ZOTU_2095	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfuricurvum	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum
ZOTU_2096	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfocella	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfocella
ZOTU_2097	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	Halanaerobacter
ZOTU_2098	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina
ZOTU_2099	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ZOTU_2100	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Opitutaceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutaceae-unclass
ZOTU_2101	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae;Parvularcula	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula
ZOTU_2102	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group	Bacteria	Gemmatimonadetes	BD2-11 terrestrial group	BD2-11 terrestrial group-unclass	BD2-11 terrestrial group-unclass	BD2-11 terrestrial group-unclass
ZOTU_2103	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_2105	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Midichloriaceae;Candidatus Jidaibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Jidaibacter
ZOTU_2106	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_2107	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Jeotgalibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Jeotgalibacillus
ZOTU_2108	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas
ZOTU_2109	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
ZOTU_2110	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;[Caedibacter] taeniospiralis group	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group
ZOTU_2111	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Hoeflea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Hoeflea
ZOTU_2112	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Rhizobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhizobacter
ZOTU_2113	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
ZOTU_2115	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fulvivirga	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga
